,in,out,overall,hour,minute
0,5.220464281,1.6418633859999996,6.862327666999999,0,0
1,6.908316658000001,0.7198634000000003,7.628180057999999,0,1
2,6.206214069000002,0.7293495069999999,6.9355635760000025,0,2
3,5.657191771,2.581063418000001,8.238255189,0,3
4,7.25150578,0.8225063680000001,8.074012148000001,0,4
5,5.995074729,1.5546074310000004,7.549682160000001,0,5
6,6.879446161999999,0.7673073680000001,7.646753529999999,0,6
7,6.321616781999999,0.6083510770000004,6.929967859000001,0,7
8,5.227524849999999,2.6773173809999995,7.904842230999999,0,8
9,6.957040505,0.8434516989999998,7.800492203999998,0,9
10,5.480349207000001,1.3163096119999997,6.796658819,0,10
11,8.766375089000002,0.7909863760000002,9.557361465,0,11
12,6.276606513000001,0.7344899490000001,7.011096462000001,0,12
13,6.3816642660000005,2.4715824880000006,8.853246754000002,0,13
14,7.479691319999998,1.859618246,9.339309565999999,0,14
15,6.680991899000002,1.1301703670000005,7.811162265999998,0,15
16,6.884954035000002,0.9714574709999999,7.8564115060000015,0,16
17,7.2782781189999985,0.619427177,7.8977052960000025,0,17
18,6.842162434999999,2.458961063,9.301123498000006,0,18
19,8.547449027999999,0.87065636,9.418105388,0,19
20,5.819276804,1.0648620779999993,6.884138882,0,20
21,6.823140527999998,1.0214658719999998,7.844606400000003,0,21
22,8.376910794,0.6750895889999999,9.052000382999998,0,22
23,6.951481895999999,2.082113218,9.033595113999997,0,23
24,5.979102672999998,1.1172576920000001,7.096360365,0,24
25,6.664990086999999,1.162574684,7.8275647710000005,0,25
26,7.622626261999999,0.847245441,8.469871702999999,0,26
27,7.564041469000001,0.808677908,8.372719377,0,27
28,6.968644784999997,2.3458425579999997,9.314487342999998,0,28
29,6.541347208,1.1269745670000004,7.668321775000001,0,29
30,6.792123759999999,1.6240187690000003,8.416142528999998,0,30
31,8.679202465999998,0.94378292,9.622985386,0,31
32,7.946502641999998,0.7047797529999998,8.651282395,0,32
33,6.669306420000001,2.4810163329999995,9.150322753,0,33
34,6.382890136000001,0.9129534330000002,7.2958435690000005,0,34
35,7.304379181,1.5686874910000004,8.873066671999998,0,35
36,10.478745652,1.0646332820000002,11.543378934000003,0,36
37,7.611502535000001,1.0667064970000004,8.678209032,0,37
38,7.497100075,2.2874719,9.784571974999999,0,38
39,6.299079637999998,1.087496624,7.386576262,0,39
40,6.2522096970000005,1.7025505660000002,7.954760263,0,40
41,8.532403295999998,0.9783041119999997,9.510707408000002,0,41
42,8.455308440000003,0.6190898890000001,9.074398329,0,42
43,6.787173719,2.1912579570000004,8.978431676000001,0,43
44,8.734222844999996,1.643268742,10.377491587,0,44
45,6.235694553999999,1.5974316809999998,7.833126234999999,0,45
46,8.483565348,0.7779018649999996,9.261467213000005,0,46
47,7.634628420000001,0.933563764,8.568192184,0,47
48,6.505611889000001,2.332632533,8.838244422,0,48
49,8.775718109,1.6793488250000002,10.455066933999996,0,49
50,9.13962017,1.210892431,10.350512601,0,50
51,7.768320421000002,1.2443610320000003,9.012681452999999,0,51
52,7.454645599999999,0.6587475419999999,8.113393142000001,0,52
53,7.214723789999999,1.007023887,8.221747677,0,53
54,6.129070533000001,2.716876968000001,8.845947501000001,0,54
55,8.738763164,1.218109419,9.956872583000004,0,55
56,10.623391758000002,1.2725787079999997,11.895970465999998,0,56
57,6.108924316999999,0.8040958910000003,6.913020207999998,0,57
58,9.099866729,1.1061423170000002,10.206009045999997,0,58
59,9.727067115,2.9094672050000003,12.636534319999996,0,59
60,6.716731523000001,1.381925897,8.09865742,1,0
61,9.950671068000004,1.441011649,11.391682717000002,1,1
62,6.539252022999999,0.72621391,7.265465933,1,2
63,11.186605047,0.8898654870000001,12.076470534000002,1,3
64,9.986333871999998,2.8963699170000003,12.882703789000004,1,4
65,8.952268528999998,1.429855264,10.382123792999998,1,5
66,9.129900425999997,1.2504838370000004,10.380384263000002,1,6
67,8.078451703999999,0.808377628,8.886829331999998,1,7
68,8.101521059,0.8601691600000001,8.961690218999996,1,8
69,6.8672987380000015,2.9034557360000006,9.770754473999999,1,9
70,11.366941181999996,1.4210650730000003,12.788006254999999,1,10
71,8.081075056,1.1372080780000002,9.218283134,1,11
72,8.132421063999997,0.8709425670000001,9.003363631000001,1,12
73,9.047865741000003,0.7912463549999998,9.839112096,1,13
74,8.714433072999995,2.4843608710000002,11.198793944,1,14
75,7.861999684,0.8416220240000001,8.703621707999998,1,15
76,7.802965495,1.467795298,9.270760793,1,16
77,7.178347741999999,0.6531056819999999,7.831453424,1,17
78,10.141072327999996,0.838775095,10.979847422999999,1,18
79,7.863926945999998,3.1921271899999994,11.056054135999998,1,19
80,6.5957181600000006,0.719307047,7.315025206999999,1,20
81,6.515828009000001,1.4321416370000009,7.947969645999999,1,21
82,7.9527738659999985,0.5897124030000003,8.542486269,1,22
83,7.929737241999999,0.7026472360000002,8.632384478,1,23
84,7.4069709580000005,2.968839207999999,10.375810165999999,1,24
85,8.503575483000002,1.0669445570000002,9.57052004,1,25
86,6.849876033,1.518680702,8.368556735,1,26
87,7.7704811849999995,0.6337766209999999,8.404257806,1,27
88,8.441866001999998,0.5964309849999999,9.038296987000003,1,28
89,4.702515061000001,3.0177214010000006,7.720236461999999,1,29
90,6.636479058000001,0.956413528,7.592892586000003,1,30
91,6.890707512,1.478561064,8.369268576000001,1,31
92,6.9203267719999975,0.6324893840000003,7.552816156,1,32
93,7.079411413,0.510366506,7.589777919000001,1,33
94,6.004904099999999,2.9941390420000014,8.999043142000001,1,34
95,5.254708299,0.7580235810000001,6.01273188,1,35
